ConditionID,Family,SourcePosition,SourceX_um,SourceY_um,Flow_um_s,TransitTime_s,Diffusion_um2_s,Decay_s_1,DecayTime_s,ChemicalBoundary,PayloadRule,RangeStatus,Notes
PRI_DOWNSTREAM_CENTER_F8p0,PRIMARY_FACTORIAL,DOWNSTREAM_CENTER,800,250,8,125,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_OFFAXIS_F0p0,PRIMARY_FACTORIAL,UPSTREAM_OFFAXIS,200,150,0,inf,159,0.0033,303.030303,NO_FLUX,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_OFFAXIS_F0p25,PRIMARY_FACTORIAL,UPSTREAM_OFFAXIS,200,150,0.25,4000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_OFFAXIS_F0p5,PRIMARY_FACTORIAL,UPSTREAM_OFFAXIS,200,150,0.5,2000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_OFFAXIS_F0p666667,PRIMARY_FACTORIAL,UPSTREAM_OFFAXIS,200,150,0.666667,1499.99925,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_OFFAXIS_F1p0,PRIMARY_FACTORIAL,UPSTREAM_OFFAXIS,200,150,1,1000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_OFFAXIS_F2p0,PRIMARY_FACTORIAL,UPSTREAM_OFFAXIS,200,150,2,500,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_OFFAXIS_F3p333333,PRIMARY_FACTORIAL,UPSTREAM_OFFAXIS,200,150,3.33333,300.00003,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_UPSTREAM_OFFAXIS_F8p0,PRIMARY_FACTORIAL,UPSTREAM_OFFAXIS,200,150,8,125,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CROSSSTREAM_OFFAXIS_F0p0,PRIMARY_FACTORIAL,CROSSSTREAM_OFFAXIS,500,350,0,inf,159,0.0033,303.030303,NO_FLUX,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CROSSSTREAM_OFFAXIS_F0p25,PRIMARY_FACTORIAL,CROSSSTREAM_OFFAXIS,500,350,0.25,4000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CROSSSTREAM_OFFAXIS_F0p5,PRIMARY_FACTORIAL,CROSSSTREAM_OFFAXIS,500,350,0.5,2000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CROSSSTREAM_OFFAXIS_F0p666667,PRIMARY_FACTORIAL,CROSSSTREAM_OFFAXIS,500,350,0.666667,1499.99925,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CROSSSTREAM_OFFAXIS_F1p0,PRIMARY_FACTORIAL,CROSSSTREAM_OFFAXIS,500,350,1,1000,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CROSSSTREAM_OFFAXIS_F2p0,PRIMARY_FACTORIAL,CROSSSTREAM_OFFAXIS,500,350,2,500,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CROSSSTREAM_OFFAXIS_F3p333333,PRIMARY_FACTORIAL,CROSSSTREAM_OFFAXIS,500,350,3.33333,300.00003,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
PRI_CROSSSTREAM_OFFAXIS_F8p0,PRIMARY_FACTORIAL,CROSSSTREAM_OFFAXIS,500,350,8,125,159,0.0033,303.030303,OUTFLOW,fixed source rate x command x 75 s,IMPLEMENTED_OR_DERIVED_FLOW,Fixed-payload one-source position by predeclared flow.
BND_CENTER_F0p0_ABSORBING,BOUNDARY_SENSITIVITY,CENTER,500,250,0,inf,159,0.0033,303.030303,ABSORBING,fixed source rate x command x 75 s,HYPOTHETICAL_DESIGN_ENVELOPE,Boundary sensitivity; not a measured permeability.
BND_CENTER_F0p0_ROBIN_LEAKY,BOUNDARY_SENSITIVITY,CENTER,500,250,0,inf,159,0.0033,303.030303,ROBIN_LEAKY,fixed source rate x command x 75 s,HYPOTHETICAL_DESIGN_ENVELOPE,Boundary sensitivity; not a measured permeability.
BND_CENTER_F0p666667_ABSORBING,BOUNDARY_SENSITIVITY,CENTER,500,250,0.666667,1499.99925,159,0.0033,303.030303,ABSORBING,fixed source rate x command x 75 s,HYPOTHETICAL_DESIGN_ENVELOPE,Boundary sensitivity; not a measured permeability.
BND_CENTER_F0p666667_ROBIN_LEAKY,BOUNDARY_SENSITIVITY,CENTER,500,250,0.666667,1499.99925,159,0.0033,303.030303,ROBIN_LEAKY,fixed source rate x command x 75 s,HYPOTHETICAL_DESIGN_ENVELOPE,Boundary sensitivity; not a measured permeability.
HYP_CENTER_D80,HYPOTHETICAL_TRANSPORT,CENTER,500,250,0,inf,80,0.0033,303.030303,NO_FLUX,fixed source rate x command x 75 s,HYPOTHETICAL_DESIGN_ENVELOPE,Hypothetical low-D one-factor arm.
HYP_CENTER_D240,HYPOTHETICAL_TRANSPORT,CENTER,500,250,0,inf,240,0.0033,303.030303,NO_FLUX,fixed source rate x command x 75 s,HYPOTHETICAL_DESIGN_ENVELOPE,Hypothetical high-D one-factor arm.
HYP_CENTER_K0p00165,HYPOTHETICAL_TRANSPORT,CENTER,500,250,0,inf,159,0.00165,606.060606,NO_FLUX,fixed source rate x command x 75 s,HYPOTHETICAL_DESIGN_ENVELOPE,Hypothetical half-decay one-factor arm.
HYP_CENTER_K0p0066,HYPOTHETICAL_TRANSPORT,CENTER,500,250,0,inf,159,0.0066,151.515152,NO_FLUX,fixed source rate x command x 75 s,HYPOTHETICAL_DESIGN_ENVELOPE,Hypothetical double-decay one-factor arm.
