n;bit;bit_prev;xor;u
114;0;1;1;0.000000000000
115;0;0;0;0.000000000000
116;0;0;0;0.000000000000
117;1;0;1;0.500000000000
118;0;1;1;0.000000000000
119;0;0;0;0.000000000000
120;0;0;0;0.000000000000
121;1;0;1;0.500000000000
122;1;1;0;0.500000000000
123;0;1;1;0.000000000000
124;0;0;0;0.000000000000
125;1;0;1;0.500000000000
126;0;1;1;0.000000000000
127;1;0;1;0.500000000000
128;1;1;0;0.500000000000
129;0;1;1;0.000000000000
130;1;0;1;0.500000000000
131;0;1;1;0.000000000000
132;1;0;1;0.500000000000
133;1;1;0;0.500000000000
134;0;1;1;0.000000000000
135;0;0;0;0.000000000000
136;0;0;0;0.000000000000
137;1;0;1;0.500000000000
138;1;1;0;0.500000000000
139;0;1;1;0.000000000000
140;1;0;1;0.500000000000
141;0;1;1;0.000000000000
142;1;0;1;0.500000000000
143;1;1;0;0.500000000000
144;1;1;0;0.500000000000
145;0;1;1;0.000000000000
146;0;0;0;0.000000000000
147;1;0;1;0.500000000000
148;0;1;1;0.000000000000
149;1;0;1;0.500000000000
150;0;1;1;0.000000000000
151;0;0;0;0.000000000000
152;1;0;1;0.500000000000
153;1;1;0;0.500000000000
154;1;1;0;0.500000000000
155;1;1;0;0.500000000000
156;1;1;0;0.500000000000
157;0;1;1;0.000000000000
158;0;0;0;0.000000000000
159;0;0;0;0.000000000000
160;1;0;1;0.500000000000
161;0;1;1;0.000000000000
162;0;0;0;0.000000000000
163;1;0;1;0.500000000000
164;0;1;1;0.000000000000
165;1;0;1;0.500000000000
166;0;1;1;0.000000000000
167;1;0;1;0.500000000000
168;1;1;0;0.500000000000
169;1;1;0;0.500000000000
170;0;1;1;0.000000000000
171;1;0;1;0.500000000000
172;1;1;0;0.500000000000
173;1;1;0;0.500000000000
174;0;1;1;0.000000000000
175;1;0;1;0.500000000000
176;0;1;1;0.000000000000
177;0;0;0;0.000000000000
178;1;0;1;0.500000000000
179;0;1;1;0.000000000000
180;0;0;0;0.000000000000
181;1;0;1;0.500000000000
182;0;1;1;0.000000000000
183;1;0;1;0.500000000000
184;1;1;0;0.500000000000
185;1;1;0;0.500000000000
186;1;1;0;0.500000000000
187;1;1;0;0.500000000000
188;1;1;0;0.500000000000
189;0;1;1;0.000000000000
190;1;0;1;0.500000000000
191;0;1;1;0.000000000000
192;1;0;1;0.500000000000
193;1;1;0;0.500000000000
194;0;1;1;0.000000000000
195;0;0;0;0.000000000000
196;0;0;0;0.000000000000
197;0;0;0;0.000000000000
198;1;0;1;0.500000000000
199;0;1;1;0.000000000000
200;0;0;0;0.000000000000
201;1;0;1;0.500000000000
202;0;1;1;0.000000000000
203;1;0;1;0.500000000000
204;1;1;0;0.500000000000
205;0;1;1;0.000000000000
206;0;0;0;0.000000000000
207;0;0;0;0.000000000000
208;1;0;1;0.500000000000
209;1;1;0;0.500000000000
210;1;1;0;0.500000000000
211;0;1;1;0.000000000000
212;1;0;1;0.500000000000
213;1;1;0;0.500000000000
214;1;1;0;0.500000000000
215;1;1;0;0.500000000000
216;1;1;0;0.500000000000
217;0;1;1;0.000000000000
218;1;0;1;0.500000000000
219;1;1;0;0.500000000000
220;0;1;1;0.000000000000
221;0;0;0;0.000000000000
222;1;0;1;0.500000000000
223;0;1;1;0.000000000000
224;0;0;0;0.000000000000
225;1;0;1;0.500000000000
226;0;1;1;0.000000000000
227;0;0;0;0.000000000000
228;1;0;1;0.500000000000
229;1;1;0;0.500000000000
230;0;1;1;0.000000000000
231;1;0;1;0.500000000000
232;0;1;1;0.000000000000
233;1;0;1;0.500000000000
234;1;1;0;0.500000000000
235;0;1;1;0.000000000000
236;1;0;1;0.500000000000
237;0;1;1;0.000000000000
238;0;0;0;0.000000000000
239;1;0;1;0.500000000000
240;1;1;0;0.500000000000
241;0;1;1;0.000000000000
242;0;0;0;0.000000000000
243;0;0;0;0.000000000000
244;0;0;0;0.000000000000
245;1;0;1;0.500000000000
246;1;1;0;0.500000000000
247;1;1;0;0.500000000000
248;1;1;0;0.500000000000
249;1;1;0;0.500000000000
250;0;1;1;0.000000000000
251;0;0;0;0.000000000000
252;1;0;1;0.500000000000
253;0;1;1;0.000000000000
254;0;0;0;0.000000000000
255;1;0;1;0.500000000000
256;0;1;1;0.000000000000
257;1;0;1;0.500000000000
258;1;1;0;0.500000000000
259;1;1;0;0.500000000000
260;0;1;1;0.000000000000
261;1;0;1;0.500000000000
262;0;1;1;0.000000000000
263;1;0;1;0.500000000000
264;1;1;0;0.500000000000
265;1;1;0;0.500000000000
266;0;1;1;0.000000000000
267;0;0;0;0.000000000000
268;1;0;1;0.500000000000
269;0;1;1;0.000000000000
270;1;0;1;0.500000000000
271;1;1;0;0.500000000000
272;1;1;0;0.500000000000
273;1;1;0;0.500000000000
274;0;1;1;0.000000000000
275;0;0;0;0.000000000000
276;0;0;0;0.000000000000
277;1;0;1;0.500000000000
278;1;1;0;0.500000000000
279;1;1;0;0.500000000000
280;1;1;0;0.500000000000
281;1;1;0;0.500000000000
282;0;1;1;0.000000000000
283;1;0;1;0.500000000000
284;0;1;1;0.000000000000
285;1;0;1;0.500000000000
286;0;1;1;0.000000000000
287;0;0;0;0.000000000000
288;1;0;1;0.500000000000
289;0;1;1;0.000000000000
290;0;0;0;0.000000000000
291;1;0;1;0.500000000000
292;0;1;1;0.000000000000
293;0;0;0;0.000000000000
294;1;0;1;0.500000000000
295;0;1;1;0.000000000000
296;1;0;1;0.500000000000
297;1;1;0;0.500000000000
298;0;1;1;0.000000000000
299;1;0;1;0.500000000000
300;1;1;0;0.500000000000
301;1;1;0;0.500000000000
302;0;1;1;0.000000000000
303;0;0;0;0.000000000000
304;0;0;0;0.000000000000
305;0;0;0;0.000000000000
306;1;0;1;0.500000000000
307;0;1;1;0.000000000000
308;0;0;0;0.000000000000
309;1;0;1;0.500000000000
310;1;1;0;0.500000000000
311;0;1;1;0.000000000000
312;0;0;0;0.000000000000
313;0;0;0;0.000000000000
314;0;0;0;0.000000000000
315;1;0;1;0.500000000000
316;0;1;1;0.000000000000
317;1;0;1;0.500000000000
318;1;1;0;0.500000000000
319;1;1;0;0.500000000000
320;0;1;1;0.000000000000
321;0;0;0;0.000000000000
322;1;0;1;0.500000000000
323;1;1;0;0.500000000000
324;1;1;0;0.500000000000
325;1;1;0;0.500000000000
326;1;1;0;0.500000000000
327;0;1;1;0.000000000000
328;1;0;1;0.500000000000
329;0;1;1;0.000000000000
330;0;0;0;0.000000000000
331;0;0;0;0.000000000000
332;1;0;1;0.500000000000
333;0;1;1;0.000000000000
334;0;0;0;0.000000000000
335;0;0;0;0.000000000000
336;0;0;0;0.000000000000
337;1;0;1;0.500000000000
338;0;1;1;0.000000000000
339;1;0;1;0.500000000000
340;1;1;0;0.500000000000
341;1;1;0;0.500000000000
342;0;1;1;0.000000000000
343;0;0;0;0.000000000000
344;1;0;1;0.500000000000
345;0;1;1;0.000000000000
346;0;0;0;0.000000000000
347;1;0;1;0.500000000000
348;0;1;1;0.000000000000
349;1;0;1;0.500000000000
350;0;1;1;0.000000000000
351;1;0;1;0.500000000000
352;1;1;0;0.500000000000
353;1;1;0;0.500000000000
354;1;1;0;0.500000000000
355;1;1;0;0.500000000000
356;0;1;1;0.000000000000
357;1;0;1;0.500000000000
358;1;1;0;0.500000000000
359;1;1;0;0.500000000000
360;0;1;1;0.000000000000
361;1;0;1;0.500000000000
362;1;1;0;0.500000000000
363;0;1;1;0.000000000000
364;1;0;1;0.500000000000
365;0;1;1;0.000000000000
366;0;0;0;0.000000000000
367;1;0;1;0.500000000000
368;0;1;1;0.000000000000
369;1;0;1;0.500000000000
370;0;1;1;0.000000000000
371;0;0;0;0.000000000000
372;0;0;0;0.000000000000
373;0;0;0;0.000000000000
374;1;0;1;0.500000000000
375;1;1;0;0.500000000000
376;0;1;1;0.000000000000
377;0;0;0;0.000000000000
378;1;0;1;0.500000000000
379;1;1;0;0.500000000000
380;0;1;1;0.000000000000
381;1;0;1;0.500000000000
382;0;1;1;0.000000000000
383;1;0;1;0.500000000000
384;0;1;1;0.000000000000
385;1;0;1;0.500000000000
386;0;1;1;0.000000000000
387;0;0;0;0.000000000000
388;0;0;0;0.000000000000
389;0;0;0;0.000000000000
390;0;0;0;0.000000000000
391;0;0;0;0.000000000000
392;0;0;0;0.000000000000
393;1;0;1;0.500000000000
394;1;1;0;0.500000000000
395;1;1;0;0.500000000000
396;0;1;1;0.000000000000
397;0;0;0;0.000000000000
398;0;0;0;0.000000000000
399;1;0;1;0.500000000000
